Price,Close,High,Low,Open,Volume,Year,Month,Day
Ticker,GS,GS,GS,GS,GS,,,
Date,,,,,,,,
2023-11-10,313.66754150390625,314.1975200412848,309.9479579227095,311.55721413738974,1781400,2023,11,10
2023-11-13,315.0165710449219,316.7607184191858,311.7595353581241,312.3666198024725,1403300,2023,11,13
2023-11-14,326.3969421386719,329.34561314267916,320.3743249887697,321.39575850480827,3592700,2023,11,14
2023-11-15,325.31768798828125,328.67106233623963,323.1399002557815,327.5339992965827,2534500,2023,11,15
2023-11-16,324.4215087890625,327.3894413371715,322.8218982767574,325.4718496047257,1620400,2023,11,16
2023-11-17,326.8498840332031,328.06405320921345,325.81880479349,327.1486035277273,1465200,2023,11,17
2023-11-20,327.1003723144531,328.90233453882087,325.221304127681,327.630350824923,3146000,2023,11,20
2023-11-21,322.7833557128906,326.7534600344722,322.37862292143313,326.0500077998973,1900900,2023,11,21
2023-11-22,326.31982421875,326.5799906600191,323.1687725046247,324.68166079868257,1235200,2023,11,22
2023-11-24,326.811279296875,327.8905275458548,325.35623504316186,326.4740068672415,460100,2023,11,24
2023-11-27,325.4236755371094,327.649632467671,323.52534544835015,326.84984185493437,1250500,2023,11,27
2023-11-28,325.3658447265625,326.08855874390593,322.6869859452351,325.10567826694995,1419000,2023,11,28
2023-11-29,330.5732727050781,333.7501696043163,326.9300300757197,327.40607095834486,2038100,2023,11,29
2023-11-30,331.8168640136719,334.94519650896535,330.4081315334905,331.95286300105647,1903600,2023,11,30
2023-12-01,338.51068115234375,338.9576069468571,330.7287347405274,331.73910605706095,3622800,2023,12,1
2023-12-04,339.4433288574219,340.5119895486217,335.46004467137135,336.4412711050429,2178100,2023,12,4
2023-12-05,332.02081298828125,336.95617881620575,330.8452684480504,336.7327455983394,2429700,2023,12,5
2023-12-06,332.23455810546875,337.1213593329022,331.8750962701581,333.7307246012853,1869300,2023,12,6
2023-12-07,334.80914306640625,334.87715737945297,332.26373556697945,333.92504594315454,2162400,2023,12,7
2023-12-08,340.8423156738281,342.2607727303555,333.9930318132744,334.5079422204629,2238800,2023,12,8
2023-12-11,341.74591064453125,342.97974490634806,339.11303908096386,341.43501346636447,1636000,2023,12,11
2023-12-12,342.5716857910156,343.92212871994934,339.6279467226692,341.40586585581315,1597600,2023,12,12
2023-12-13,352.4035949707031,352.52017399475693,341.5904457579338,342.8922942745101,2876500,2023,12,13
2023-12-14,372.5531311035156,375.2054223848828,354.6089457321589,356.0662427694143,5376300,2023,12,14
2023-12-15,369.6773986816406,374.9139371728586,368.5212740182321,369.36650153796467,4521600,2023,12,15
2023-12-18,365.68438720703125,371.8633418920659,365.2083463422587,370.4060448949745,2740900,2023,12,18
2023-12-19,371.56219482421875,372.84459373581024,363.8870730651299,365.30553025257035,2091800,2023,12,19
2023-12-20,366.7724914550781,374.1658601814062,366.5101886735257,369.89112832411564,1836500,2023,12,20
2023-12-21,369.7356872558594,370.6294794806904,366.2770380753566,369.2304719864664,1301600,2023,12,21
2023-12-22,369.8133850097656,372.57253035580834,368.6086956801817,371.12495820017716,1538200,2023,12,22
2023-12-26,370.7460632324219,371.71759457977606,369.230476702452,369.8134014406213,837300,2023,12,26
2023-12-27,373.5343933105469,374.76822748183713,369.4830944359196,370.347771590107,1367200,2023,12,27
2023-12-28,375.4094543457031,376.72102767424286,372.7085982215688,373.57324575599034,1024700,2023,12,28
2023-12-29,374.7876281738281,375.63288533065867,372.6502770503669,374.59333969830425,881300,2023,12,29
2024-01-02,377.24560546875,378.0617178809664,371.30956324413796,372.09650125347633,2263100,2024,1,2
2024-01-03,370.92095947265625,374.428173386889,366.03415800691397,372.95145642017786,2265300,2024,1,3
2024-01-04,372.0479431152344,376.0700674952259,371.0764117632153,372.6308382074187,1618300,2024,1,4
2024-01-05,375.4385986328125,378.3823376048948,370.2311748830807,371.047287354457,2913900,2024,1,5
2024-01-08,377.7896728515625,378.0034109380906,371.15412666548735,374.9819626204456,1902600,2024,1,8
2024-01-09,372.8154296875,374.9625353119397,370.90151174756164,373.6509620634609,1708800,2024,1,9
2024-01-10,371.08612060546875,372.1450862603823,367.7537750608162,370.4935006902908,1547300,2024,1,10
2024-01-11,368.9390563964844,370.13405071551847,364.0133849860287,370.0466164456554,2209900,2024,1,11
2024-01-12,366.9959716796875,374.86538163487245,365.85926694166056,372.42682843073993,2223100,2024,1,12
2024-01-16,369.619140625,374.04932152861454,363.66364827616746,367.5886138661228,3926600,2024,1,16
2024-01-17,366.4421691894531,369.37621269524703,363.4790105793475,364.5185561876756,2415100,2024,1,17
2024-01-18,366.1799011230469,370.77525528838044,363.89679641830855,369.5025218858702,1771200,2024,1,18
2024-01-19,371.31927490234375,372.38793561384404,361.47765808469273,366.0049975027758,2598700,2024,1,19
2024-01-22,374.9722595214844,381.54954622694555,373.6121214597596,375.360866160722,2922700,2024,1,22
2024-01-23,369.92999267578125,372.4462553906765,367.8509309411479,369.16250423314875,3313300,2024,1,23
2024-01-24,368.5989990234375,373.6606692030802,368.3852609342449,370.9403932031609,2235800,2024,1,24
2024-01-25,371.8050842285156,375.70090503990383,371.1347251805359,371.7953594267581,2376300,2024,1,25
2024-01-26,367.0347900390625,370.05623791941207,366.02438926273055,367.870292661705,3464700,2024,1,26
2024-01-29,369.72601318359375,369.99804080875094,363.58592718857335,365.1889778302084,1632300,2024,1,29
2024-01-30,375.8563537597656,376.8764795347397,370.72666907475565,373.06806334265104,3897900,2024,1,30
2024-01-31,373.0777893066406,382.6959444148991,372.7766169389693,375.0111273408121,3421100,2024,1,31
2024-02-01,372.92230224609375,378.45031781596424,368.0160513022128,373.48577736492126,2138500,2024,2,1
2024-02-02,376.8181457519531,377.6730981077459,369.7648481142321,370.93066797767113,2180900,2024,2,2
